gap_weight,surplus_weight,cost_weight,treatment,control,metric,mean_difference,ci95_lower,ci95_upper,exact_signflip_p,inference_scope,wins,ties,losses
0.9,0.1,0.0,random,wait,remaining_gap_total,-1054.8,-1289.1908902567675,-820.4091097432325,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,random,wait,surplus_total,739.1,440.3976968457726,1037.8023031542275,0.00390625,policy RNG on one fixed traffic week,9,0,1
0.9,0.1,0.0,random,wait,movement_cost_total,308.2,303.7931296184253,312.60687038157465,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,random,wait,movement_count,308.2,303.7931296184253,312.60687038157465,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,random,wait,satisfied_hours,-58.8,-68.50172711222079,-49.0982728877792,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,random,wait,sla_violation_hours,58.8,49.0982728877792,68.50172711222079,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,greedy-optimal,wait,utility_total,-73.2266731262207,-73.2266731262207,-73.2266731262207,,duplicated deterministic outcome; descriptive only,0,0,10
0.9,0.1,0.0,greedy-optimal,wait,remaining_gap_total,-1618.0,-1618.0,-1618.0,,duplicated deterministic outcome; descriptive only,0,0,10
0.9,0.1,0.0,greedy-optimal,wait,surplus_total,-3579.0,-3579.0,-3579.0,,duplicated deterministic outcome; descriptive only,0,0,10
0.9,0.1,0.0,greedy-optimal,wait,movement_cost_total,222.0,222.0,222.0,,duplicated deterministic outcome; descriptive only,10,0,0
0.9,0.1,0.0,greedy-optimal,wait,movement_count,222.0,222.0,222.0,,duplicated deterministic outcome; descriptive only,10,0,0
0.9,0.1,0.0,greedy-optimal,wait,satisfied_hours,-17.0,-17.0,-17.0,,duplicated deterministic outcome; descriptive only,0,0,10
0.9,0.1,0.0,greedy-optimal,wait,sla_violation_hours,17.0,17.0,17.0,,duplicated deterministic outcome; descriptive only,10,0,0
0.9,0.1,0.0,sampling-optimal,wait,utility_total,-48.10000057220459,-52.52694837829543,-43.673052766113756,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,sampling-optimal,wait,remaining_gap_total,-1052.6,-1137.7801111706247,-967.4198888293752,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,sampling-optimal,wait,surplus_total,-2258.6,-2398.900822252188,-2118.299177747812,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,sampling-optimal,wait,movement_cost_total,279.6,276.0602129103575,283.13978708964254,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,sampling-optimal,wait,movement_count,279.6,276.0602129103575,283.13978708964254,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,sampling-optimal,wait,satisfied_hours,-25.9,-29.106938483975018,-22.69306151602498,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,sampling-optimal,wait,sla_violation_hours,25.9,22.69306151602498,29.106938483975018,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,exhaustive-search,wait,utility_total,-74.85066528320313,-76.6724923173782,-73.02883824902806,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,exhaustive-search,wait,remaining_gap_total,-1622.1,-1658.2675652932292,-1585.9324347067707,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,exhaustive-search,wait,surplus_total,-3372.3,-3440.2119642151515,-3304.388035784849,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,exhaustive-search,wait,movement_cost_total,237.0,234.63960664295124,239.36039335704876,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,exhaustive-search,wait,movement_count,237.0,234.63960664295124,239.36039335704876,0.001953125,policy RNG on one fixed traffic week,10,0,0
0.9,0.1,0.0,exhaustive-search,wait,satisfied_hours,-23.4,-26.225237094475435,-20.57476290552456,0.001953125,policy RNG on one fixed traffic week,0,0,10
0.9,0.1,0.0,exhaustive-search,wait,sla_violation_hours,23.4,20.57476290552456,26.225237094475435,0.001953125,policy RNG on one fixed traffic week,10,0,0
